innodb_buffer_pool_size,innodb_thread_concurrency,innodb_adaptive_hash_index,innodb_flush_log_at_trx_commit,join_buffer_size,sort_buffer_size,tmp_table_size,thread_cache_size,read_rnd_buffer_size,max_heap_table_size,performance
2387196928,35,1,0,7084032,10077184,18906112,5120,62738432,26269696,35.82
1775144960,29,0,0,14746624,621568,9019392,21504,103724032,51480576,35.66
1707100160,18,1,2,6200320,757760,62113792,15360,124101632,23956480,35.62
2507495424,27,0,2,6500352,8245248,36624384,5120,68473856,6940672,35.61
1705764864,46,0,2,8888320,2650112,54021120,15360,109539328,35373056,35.55
1158519808,9,0,0,12804096,12381184,50551808,17408,30928896,45408256,35.52
2421154816,0,0,0,6846464,8481792,65382400,41984,131300352,46106624,35.45
1397448704,5,0,2,4248576,4859904,25205760,15360,131830784,53649408,35.44
337373184,6,0,0,5400576,15284224,32333824,22528,84011008,54865920,35.39
2571902976,48,1,2,3659776,9928704,4583424,18432,59719680,18561024,35.33
2658181120,32,0,0,3868672,13126656,49987584,38912,75922432,39892992,35.33
1921216512,26,0,2,12828672,12264448,42734592,8192,42033152,9320448,35.28
1740860416,26,1,2,15923200,12381184,25932800,4096,60000256,61199360,35.28
1307691008,22,0,0,9123840,3290112,58289152,28672,98043904,32468992,35.22
1144640512,17,0,2,9283584,4496384,25070592,12288,19703808,27590656,35.16
1864706048,9,0,2,3966976,3005440,63513600,5120,79700992,65935360,35.1
1626304512,49,0,0,5518336,4807680,26858496,32768,75035648,1235968,35.03
1416980480,13,1,0,7103488,13505536,27928576,3072,86368256,44998656,35
2467621888,13,0,0,11812864,10571776,56311808,18432,6452224,6578176,34.89
1449747456,10,1,0,2616320,11323392,14870528,23552,10307584,11663360,34.85
2388809728,5,1,0,8465408,795648,20435968,25600,49786880,15182848,34.82
2486919168,48,0,0,5240832,12226560,24460288,43008,98331648,54198272,34.77
711948288,46,0,0,2540544,11002880,36948992,29696,6987776,46439424,34.76
2181978112,33,1,0,11832320,1487872,49336320,26624,62195712,64441344,34.75
1579641856,48,0,0,7128064,7440384,59082752,3072,31823872,43508736,34.74
2498216960,48,0,0,8130560,1531904,15971328,35840,15778816,47853568,34.64
2809729024,42,0,2,13815808,11898880,22274048,19456,51069952,33810432,34.62
1788248064,19,0,0,2837504,2743296,66594816,41984,105689088,61798400,34.61
2172826624,15,1,2,12486656,14448640,49230848,48128,38500352,17330176,34.58
2606040064,22,0,0,3259392,10993664,54317056,15360,68944896,38464512,34.57
1645587456,13,1,2,8570880,9861120,45828096,13312,78444544,4124672,34.57
3184483328,10,1,2,11094016,9792512,29852672,43008,86142976,30733312,34.57
2456916992,39,0,2,12609536,10381312,239616,18432,74275840,59147264,34.56
1328875520,16,1,2,13405184,12750848,27524096,16384,3036160,30271488,34.56
1524798464,37,1,0,14201856,16498688,440320,18432,90409984,14067712,34.54
1649027072,22,0,0,406528,8297472,14242816,32768,4641792,30990336,34.53
3035898880,41,0,0,1302528,9276416,31908864,6144,48661504,51940352,34.53
2984711168,0,1,2,11535360,6121472,10324992,8192,77223936,29133824,34.53
2620899328,7,0,2,14718976,3656704,60982272,10240,29607936,43760640,34.52
1473087488,33,0,2,8126464,9630720,7482368,37888,84342784,58438656,34.52
1767632896,21,1,0,12611584,10818560,65156096,34816,31218688,12791808,34.51
2214579200,27,0,0,6753280,14869504,27609088,2048,84339712,21885952,34.5
1293004800,24,0,0,14448640,11436032,49248256,18432,12845056,21171200,34.48
2780697600,0,1,2,2830336,10156032,54032384,40960,104782848,18973696,34.45
1379483648,22,1,0,4873216,8485888,1316864,40960,96024576,46827520,34.44
3083454464,14,0,2,14818304,9361408,39366656,36864,84061184,41558016,34.44
2360645632,7,0,0,13678592,14061568,43956224,6144,50917376,22631424,34.43
2844351488,27,1,0,15285248,10770432,28196864,10240,22213632,10227712,34.42
2067484672,11,0,2,6972416,2940928,19656704,26624,18022400,50801664,34.41
1502938112,34,0,2,9806848,7949312,54864896,9216,17511424,38989824,34.41
2090711040,10,1,0,10978304,5566464,34245632,6144,1592320,3908608,34.39
2118788096,9,1,0,8058880,863232,41566208,46080,22027264,54836224,34.38
2477666304,6,0,0,3437568,15737856,28947456,6144,53534720,25633792,34.37
1637532672,25,0,0,3060736,5350400,35577856,13312,1529856,6377472,34.36
1910330368,43,1,0,9488384,3519488,63091712,19456,17213440,54368256,34.36
2075561984,45,0,0,12110848,6116352,50574336,1024,100364288,6636544,34.35
1222566912,16,0,2,9220096,3405824,38136832,7168,120520704,39834624,34.34
1976108032,46,0,2,10646528,14216192,43831296,20480,117699584,63822848,34.33
1534216192,6,0,2,8456192,12886016,16856064,2048,124351488,54734848,34.32
1588078592,6,0,0,10714112,5875712,61408256,9216,112834560,57325568,34.32
1328124928,46,1,0,2951168,14844928,61547520,33792,84426752,19808256,34.31
2161030144,27,0,2,12513280,13586432,30073856,41984,132097024,47093760,34.31
1601026048,18,0,2,13136896,409600,2920448,17408,4666368,12568576,34.3
2561853440,41,1,0,3476480,5117952,18102272,46080,63560704,12751872,34.29
2563398656,35,1,2,12148736,11646976,12139520,23552,57789440,43853824,34.28
3171475456,49,1,2,16423936,12189696,44407808,6144,31245312,10202112,34.26
2386080768,33,1,2,8767488,13945856,60320768,21504,66584576,23326720,34.24
1150444544,16,0,2,8547328,14005248,7614464,35840,103477248,61244416,34.23
1426012160,49,1,0,8111104,12674048,34744320,13312,6041600,49767424,34.22
2823867392,24,0,2,8814592,14005248,63181824,44032,53692416,28453888,34.18
2283644928,35,1,0,9529344,2438144,25654272,20480,18140160,29025280,34.17
1361635328,39,0,2,4440064,11487232,31582208,19456,91945984,39107584,34.17
2013291520,16,0,0,9310208,8196096,25017344,30720,44731392,44249088,34.16
1807959040,18,1,0,11642880,1430528,34330624,40960,4358144,56498176,34.13
1271462912,42,1,2,214016,9478144,18991104,22528,18547712,4129792,34.11
2700574720,35,1,0,6708224,4318208,51403776,21504,77125632,25521152,34.1
